year,avg_temp
1853,11.21
1854,11.99
1855,12.09
1856,11.64
1857,11.49
1858,11.51
1859,12.21
1860,12.32
1861,12.91
1862,12.45
1863,11.83
1864,12.58
1865,12.58
1866,12.91
1867,12.83
1868,12.00
1869,12.42
1870,12.42
1871,12.04
1872,12.82
1873,12.50
1874,12.16
1875,12.45
1876,12.88
1877,12.34
1878,12.28
1879,12.29
1880,12.95
1881,12.61
1882,12.36
1883,12.12
1884,11.40
1885,11.91
1886,11.93
1887,12.25
1888,11.70
1889,12.31
1890,12.49
1891,12.12
1892,12.64
1893,12.94
1894,12.68
1895,12.17
1896,12.27
1897,12.36
1898,12.11
1899,11.98
1900,12.23
1901,12.09
1902,11.58
1903,12.03
1904,11.88
1905,11.91
1906,11.66
1907,12.46
1908,12.07
1909,12.68
1910,12.80
1911,12.53
1912,11.98
1913,12.29
1914,12.35
1915,12.59
1916,13.29
1917,12.96
1918,12.33
1919,12.17
1920,12.22
1921,12.52
1922,12.65
1923,12.43
1924,13.13
1925,12.14
1926,12.27
1927,12.53
1928,13.22
1929,12.47
1930,11.85
1931,12.03
1932,12.23
1933,12.76
1934,12.84
1935,13.13
1936,12.54
1937,12.32
1938,13.52
1939,12.51
1940,12.39
1941,12.40
1942,12.79
1943,12.55
1944,12.63
1945,12.35
1946,12.63
1947,12.73
1948,13.10
1949,12.72
1950,12.83
1951,12.36
1952,12.75
1953,12.68
1954,13.06
1955,13.23
1956,13.48
1957,13.17
1958,13.04
1959,12.71
1960,12.85
1961,12.80
1962,13.57
1963,12.69
1964,12.81
1965,12.49
1966,12.55
1967,12.78
1968,12.90
1969,12.71
1970,13.52
1971,13.53
1972,12.73
1973,13.22
1974,13.28
1975,13.32
1976,12.31
1977,12.21
1978,13.19
1979,13.16
1980,12.82
1981,13.40
1982,12.61
1983,12.65
1984,13.29
1985,13.26
1986,13.16
1987,13.27
1988,13.35
1989,13.56
1990,13.64
1991,12.82
1992,12.14
1993,12.35
1994,12.89
1995,13.15
1996,13.07
1997,12.77
1998,13.97
1999,13.87
2000,13.40
2001,13.58
2002,13.28
2003,13.30
2004,12.76
2005,13.63
2006,13.04
2007,13.44
2008,13.55
2009,12.84
2010,13.54
2011,13.46
2012,12.89
2013,13.57
